filename,lot,true_label,probability
446825971022.png,lot1,0,0.2724358
449079050821.png,lot1,0,0.32338908
449548601935.png,lot1,1,0.9706386
459842032575.png,lot1,0,0.46721345
461796723131.png,lot1,0,0.88448304
467170281550.png,lot1,0,0.38094714
471644500148.png,lot1,0,0.092855275
484148077390.png,lot1,0,0.28262565
485645061448.png,lot1,0,0.113081835
499184697528.png,lot1,0,0.07911083
504727923636.png,lot1,1,0.76740265
507660042820.png,lot1,0,0.09519997
513176860851.png,lot1,0,0.2749888
516484846771.png,lot1,0,0.20186552
519479014210.png,lot1,0,0.5887004
522346050627.png,lot1,1,0.84543365
522908640837.png,lot1,0,0.14920466
525197973685.png,lot1,0,0.03413938
547572953783.png,lot1,0,0.22271967
556833766071.png,lot1,1,0.8207843
560995798351.png,lot1,0,0.78158337
571767951545.png,lot1,0,0.41701323
580659249483.png,lot1,1,0.38721797
582449285561.png,lot1,1,0.8726482
584560114110.png,lot1,0,0.515879
586526530994.png,lot1,0,0.24564289
586686362188.png,lot1,0,0.18300211
593048358219.png,lot1,0,0.40912923
597573327805.png,lot1,0,0.20878473
602136307896.png,lot1,0,0.41453135
606958517568.png,lot1,1,0.74487877
613760275528.png,lot1,0,0.08503955
614753560502.png,lot1,1,0.92518634
615252281023.png,lot1,0,0.051235136
615552493642.png,lot1,1,0.8127001
619348176309.png,lot1,1,0.914628
619580543422.png,lot1,1,0.79007167
620015008072.png,lot1,0,0.7188899
630576825928.png,lot1,0,0.789574
635882288057.png,lot1,1,0.84702384
639141782081.png,lot1,1,0.96729404
642073159236.png,lot1,0,0.05487935
642677760185.png,lot1,1,0.8670965
647486364860.png,lot1,0,0.15526222
652038062149.png,lot1,0,0.3433827
659626483531.png,lot1,0,0.18355346
661165245001.png,lot1,0,0.9045718
661650570431.png,lot1,1,0.9578931
665756876355.png,lot1,1,0.71657825
669513071035.png,lot1,0,0.78536594
674580554825.png,lot1,0,0.06806168
681676374607.png,lot1,0,0.36694625
681782384719.png,lot1,0,0.11251125
695103190974.png,lot1,0,0.2214293
704227637685.png,lot1,0,0.8827538
707174412619.png,lot1,0,0.1448409
715750723144.png,lot1,0,0.050307356
718882355381.png,lot1,1,0.7015729
719800238268.png,lot1,0,0.7048003
720577400643.png,lot1,0,0.28324383
731625393078.png,lot1,0,0.2565375
733571920565.png,lot1,0,0.1503711
740415804347.png,lot1,0,0.13104755
744864895154.png,lot1,0,0.033188764
763227218251.png,lot1,0,0.43387255
766231467443.png,lot1,0,0.52554446
772075801270.png,lot1,0,0.0941498
774859220810.png,lot1,1,0.43762583
777115535947.png,lot1,1,0.54305077
781371789125.png,lot1,0,0.33083227
783303208118.png,lot1,0,0.20148754
791527431747.png,lot1,0,0.96207124
794825429059.png,lot1,0,0.24604844
794854440884.png,lot1,0,0.38914397
797575029945.png,lot1,0,0.8305839
797972730440.png,lot1,1,0.5107136
803924128446.png,lot1,0,0.262528
805665069245.png,lot1,0,0.11123176
806932709961.png,lot1,1,0.8595083
813154990525.png,lot1,0,0.07393947
817725309879.png,lot1,0,0.02391849
836490545741.png,lot1,1,0.8329482
849071065023.png,lot1,1,0.85495263
856487806141.png,lot1,0,0.333108
858902953295.png,lot1,0,0.57240534
862861140299.png,lot1,0,0.27802676
864841279421.png,lot1,0,0.44754347
868021501374.png,lot1,0,0.13088503
868833658801.png,lot1,0,0.58463275
880259127222.png,lot1,1,0.6535728
886182148940.png,lot1,0,0.112145126
886867531076.png,lot1,0,0.74753904
888322663489.png,lot1,0,0.028620347
890095804352.png,lot1,1,0.3954224
891398565045.png,lot1,0,0.1443083
895001833401.png,lot1,0,0.48996848
897499303247.png,lot1,0,0.16089202
897961086908.png,lot1,0,0.020185955
899748003395.png,lot1,0,0.12117359
909969375041.png,lot1,0,0.15946808
910375338430.png,lot1,0,0.56051236
912784585295.png,lot1,0,0.35341716
914504784062.png,lot1,0,0.09072324
917176914357.png,lot1,0,0.31061786
919385873480.png,lot1,0,0.11372323
925324944308.png,lot1,0,0.28217563
927111601736.png,lot1,0,0.4734509
934821922376.png,lot1,0,0.43348432
937534603840.png,lot1,1,0.62619925
937575259065.png,lot1,0,0.38395727
948051671620.png,lot1,0,0.44472787
954455675968.png,lot1,1,0.7781503
955865492672.png,lot1,0,0.8405897
961190070350.png,lot1,0,0.08938038
966456388539.png,lot1,0,0.040677227
972654902082.png,lot1,0,0.10442985
973212003914.png,lot1,0,0.025442071
979603029826.png,lot1,0,0.18101904
992048473014.png,lot1,0,0.06334785
997506444101.png,lot1,1,0.75958127
999098006976.png,lot1,0,0.252112
